,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PLAU,7.67415813019163e-22,0.320955230582081,0.39,0.277,1.35095879723893e-17
PRAP1,1.10614326145084e-21,-0.356257077760504,0.599,0.659,1.94725459745806e-17
GDF15,1.12314627914697e-21,0.430871943985912,0.74,0.598,1.97718670981032e-17
SAT1,1.38471746011102e-21,0.252578255699937,1,1,2.43765661677945e-17
LOC107000278,2.03940630272249e-21,0.402444604450898,0.284,0.187,3.59017085531266e-17
PLTP,4.06277276518555e-21,0.321569795148158,0.696,0.552,7.15210517583265e-17
BATF3,4.60589617145093e-21,-0.262676820782866,0.669,0.71,8.10821962022221e-17
PTGDS,7.84037744727331e-21,-0.673886671268587,0.56,0.67,1.38022004581799e-16
TMEM176B,2.67027982023292e-20,0.425921569473326,0.174,0.09,4.70076059553803e-16
G0S2,4.16287715575675e-20,0.351257165123845,0.914,0.882,7.32832894499418e-16
LOC716834,9.23099460621408e-20,0.342396865324222,0.851,0.756,1.62502429047793e-15
DNAJA4,1.04590801916762e-19,0.374425555380492,0.203,0.117,1.84121647694268e-15
S100A8,3.4360922800551e-19,-0.38349317361726,0.157,0.266,6.048896849809e-15
SELENOP,4.05647899113163e-19,0.279089135025485,0.801,0.688,7.14102561598813e-15
HCST,6.84537754265079e-19,-0.251255834608459,0.308,0.418,1.20506026260825e-14
ADIRF,2.79069025616311e-18,0.841586244006887,0.157,0.085,4.91273112694954e-14
TMEM176A,1.14979632775673e-17,0.338563604779063,0.142,0.072,2.02410145538295e-13
LDLRAP1,1.40743683402836e-17,-0.252376983555795,0.414,0.489,2.47765180262352e-13
DUSP1,2.03004033089622e-16,0.434398687741324,0.925,0.896,3.57368299850971e-12
ERV3-1,2.69456497585809e-16,-0.254546352092448,0.334,0.425,4.74351218350058e-12
CENPK,7.08846354976318e-16,0.250054621209487,0.276,0.192,1.24785312330031e-11
DUSP6,1.27921159860711e-15,-0.261102098817263,0.643,0.684,2.25192409818795e-11
NR4A3,3.13106824744755e-15,0.270096185959706,0.233,0.15,5.51193254280667e-11
MOCOS,5.05179400053825e-15,0.397797507372422,0.353,0.267,8.89317815854754e-11
LOC718347,6.65733859501132e-15,0.290200353960938,0.241,0.164,1.17195788626579e-10
KLF2,3.35871748614217e-14,0.358317713075919,0.367,0.271,5.91268626260467e-10
S100A9,2.04894130709491e-13,-0.521318967069383,0.255,0.326,3.60695627700989e-09
UBE2S,2.88728083069375e-13,-0.297551488999197,0.717,0.744,5.08276917435327e-09
ZFAND2A,4.67350928553277e-13,0.449967933845947,0.725,0.621,8.22724574625188e-09
TMEM106C,2.06542342361796e-12,0.267063779290776,0.419,0.351,3.63597139493705e-08
APOE,3.69558875374818e-11,0.252710958371181,0.995,0.995,6.5057144420983e-07
ZFP36L1,8.05312733355435e-11,0.319678352527309,0.379,0.301,1.41767253579891e-06
MOSPD1,4.53571643321632e-10,0.384634844981006,0.364,0.304,7.98467520903402e-06
C1QB,5.34003086702497e-09,0.269558839142526,0.733,0.669,9.40059033831076e-05
TM4SF19,1.9544564097335e-08,0.262630390739869,0.32,0.262,0.000344062506369485
APOC2,3.54388694861681e-08,-0.25593167715359,0.698,0.743,0.000623865858434503
ENSMMUG00000028703,1.36419053115278e-06,0.303923187544864,1,1,0.0240152101104135
BAG3,1.62125882240911e-06,0.354840072621056,0.315,0.269,0.02854064030969
C1QA,2.67151802154531e-06,0.287724886737985,0.625,0.543,0.0470294032512836
LOC106999148,6.69389802226244e-06,0.272417117913122,0.831,0.827,0.117839380783908
NFKBIA,7.35373946966674e-05,0.275361984715083,0.894,0.894,1
RBP4,0.221743913156916,0.300040752814723,0.282,0.284,1
