,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PKM,4.95969418353257e-83,-0.422359158091933,0.964,0.988,8.73104564069073e-79
REX1BD,5.47245798051694e-83,-0.421388285690961,0.934,0.969,9.63371502890203e-79
SH3BGRL3,6.63608273982331e-83,-0.358711726627209,0.999,1,1.1682160055185e-78
NDUFA4,7.11861440295097e-83,-0.35983819003453,0.998,0.999,1.25316087949549e-78
NOP10,1.29699955849847e-82,-0.370285541625416,0.998,1,2.28323802278071e-78
ZFP36,1.93281570423446e-82,0.869758342282124,0.962,0.861,3.40252876573434e-78
PSMB6,6.56094003952879e-82,-0.408141514072205,0.928,0.966,1.15498788455865e-77
TMEM150B,7.90288403217266e-82,-0.528121602235938,0.658,0.804,1.39122370502367e-77
RPL37,7.28724144008415e-81,0.612184859930871,0.999,0.999,1.28284598311241e-76
LOC114669738,1.97402878825314e-80,-0.371592074608347,0.996,0.999,3.47508027884082e-76
S100A6,7.32276458035163e-80,-0.446241252806094,1,1,1.2890994767251e-75
FLNA,9.58757018954468e-80,-0.466649420642025,0.927,0.98,1.68779585616745e-75
APRT,1.13665335605396e-79,-0.501204726013254,0.848,0.919,2.00096456799739e-75
LAMTOR4,1.25443509980048e-78,-0.361842983556345,0.988,0.994,2.20830754968876e-74
PLAC8,5.4651647506033e-78,-0.581733430353071,0.971,0.988,9.62087602696205e-74
RPL19,3.9478111004087e-77,0.476063859882522,1,1,6.94972666115947e-73
MAMU-AG,6.04337743042245e-77,-0.346425966166431,0.999,1,1.06387616285157e-72
COX17,6.80120242942048e-77,-0.39853231093185,0.933,0.97,1.19728367567518e-72
RPS4X,8.32844166470735e-77,0.499056764353323,0.999,1,1.46613887065508e-72
VAMP5,8.90119706122872e-77,-0.513372597303078,0.824,0.91,1.5669667306587e-72
AP2S1,1.10659758286802e-76,-0.414468308621318,0.968,0.985,1.94805438488087e-72
CITED2,2.34271565996569e-76,-0.647489179191289,0.886,0.926,4.12411664780361e-72
PLPP3,2.50715196507067e-76,0.491442663235893,0.327,0.12,4.41359031931042e-72
ENO1,8.74716268834666e-75,-0.369335254981598,0.997,0.999,1.53985051965655e-70
NDUFA2,1.00857353096614e-74,-0.361991884828231,0.978,0.99,1.77549284391279e-70
LOC107000278,1.03714060464599e-74,0.746102359505158,0.386,0.17,1.8257823204188e-70
ANXA1,1.67415430420037e-74,-0.427512235276456,0.998,0.999,2.94718123711434e-70
ATP5MC1,3.19266352725259e-74,-0.411986928443502,0.903,0.948,5.62036487337546e-70
MPEG1,4.55942366226314e-74,-0.422175696057445,0.936,0.97,8.02640941504804e-70
FRG1-1,5.12189214489924e-74,-0.409942279450462,0.11,0.376,9.01657893188062e-70
ND4,4.28664385484558e-73,0.597674550031436,1,1,7.54620784207015e-69
RPLP2,4.69679220301474e-73,-0.283348015057673,1,1,8.26823299418714e-69
CLEC12A,4.88801937355107e-73,-0.480443089433839,0.678,0.81,8.6048693051993e-69
BID,5.22838175295843e-73,-0.453830644619411,0.688,0.822,9.20404323790801e-69
PYCARD,8.04399071609143e-73,-0.35895777584301,0.996,0.999,1.41606412566073e-68
MAMU-DRA,2.29821439834148e-72,-0.456252039759311,0.999,1,4.04577662684033e-68
GNB2,2.34566505707906e-72,-0.38698281280512,0.953,0.978,4.12930876648198e-68
TALDO1,4.32165969896816e-72,-0.359917801390653,0.969,0.985,7.60784973406356e-68
BEX3,1.28664915026006e-71,-0.418477868264959,0.989,0.993,2.26501716411781e-67
TMED9,4.13408194156593e-71,-0.423441643808434,0.844,0.913,7.27763784993267e-67
ENO3,5.74789696800985e-71,1.11585922340998,0.84,0.627,1.01185978224845e-66
STAC3,1.52191923631796e-70,-0.409586395721442,0.905,0.951,2.67918662361413e-66
ND1,4.26994728275604e-70,0.691098457021711,1,1,7.51681519656373e-66
MYLIP,4.76038984962508e-70,0.551140828424232,0.424,0.203,8.38019029127998e-66
GCNT1,5.10900484708961e-70,-0.560128410629678,0.368,0.596,8.99389213281655e-66
TPM3,8.21261621454941e-70,-0.373132751811615,0.984,0.994,1.44574895840928e-65
GCA,8.72419392709882e-70,-0.572934557111861,0.678,0.798,1.53580709892648e-65
MSN,1.3074058112469e-69,-0.37921164800372,0.981,0.991,2.30155719011904e-65
WDR83OS,1.21226634789844e-68,-0.332891401299444,0.991,0.996,2.13407367884041e-64
HSPH1,2.10660123227504e-68,1.11668442988174,0.816,0.655,3.70846080929699e-64
COX4I1,2.30668050623682e-68,-0.297693490887312,1,1,4.06068036317929e-64
ICAM3,2.9739466452864e-68,-0.483708033343846,0.168,0.431,5.23533567436218e-64
LOC114674534,3.10784343385809e-68,0.969375355434947,0.998,0.997,5.47104758096379e-64
SPI1,4.20712211069739e-68,-0.376516726261134,0.978,0.986,7.40621776367168e-64
ITM2B,6.51445200833029e-68,-0.316507606308829,0.999,1,1.14680413154646e-63
RELT,9.4759974992649e-68,-0.442920357776512,0.182,0.447,1.66815459977059e-63
CD59,1.09298939118123e-67,0.658310670785009,0.93,0.765,1.92409852423544e-63
RILPL2,2.37843835758574e-67,-0.442672583225561,0.828,0.909,4.18700288469393e-63
TIMD4,3.67858566626919e-67,-0.730524191923007,0.017,0.228,6.47578220690028e-63
LOC114677642,9.7381639554731e-67,-0.428695835051129,0.12,0.368,1.71430638272149e-62
MPHOSPH6,1.01331044474896e-66,-0.437134699899271,0.543,0.721,1.78383170693608e-62
PSMB7,1.159137031907e-66,-0.353261389087026,0.978,0.987,2.04054483096908e-62
TUSC3,1.23163616211631e-66,-0.446225165841586,0.204,0.465,2.16817229978956e-62
ARF5,1.24675747089561e-66,-0.36394736480046,0.941,0.97,2.19479185176464e-62
PFDN2,3.95530654181407e-66,-0.345528002542614,0.98,0.993,6.96292163620949e-62
SLC16A3,5.82728938795786e-66,-0.506037875800479,0.569,0.734,1.0258360238561e-61
TMSB10,8.2813673696976e-66,-0.332711049968093,1,1,1.45785191176157e-61
COTL1,8.93294829543838e-66,-0.340702992515473,0.953,0.977,1.57255621792897e-61
ARPC2,9.11904114382431e-66,-0.309320297188827,1,1,1.60531600295883e-61
SIGLEC11,1.1159501040501e-65,-0.417549948683189,0.832,0.897,1.9645185631698e-61
C1QBP,1.12264951801008e-65,-0.38836958054534,0.823,0.895,1.97631221150494e-61
TECR,4.13074033918176e-65,-0.456537910234185,0.95,0.966,7.27175529309558e-61
VWF,9.02333266414575e-65,0.296425256091718,0.202,0.053,1.58846748219622e-60
PSMB1,1.54183266691855e-64,-0.333891691015715,0.961,0.986,2.71424222684341e-60
