,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LOC719702,3.55081502075608e-22,0.358867825802531,0.926,0.886,6.250854762539e-18
HSPD1,5.67126101111422e-22,0.36570221959619,0.891,0.828,9.98368788396548e-18
PLAU,6.0599264722829e-22,0.321533993241848,0.39,0.277,1.06678945618068e-17
LOC107000278,1.25206527257496e-21,0.404182726936828,0.284,0.187,2.20413570584096e-17
GDF15,1.62414705935485e-21,0.432775012852324,0.739,0.598,2.85914848328827e-17
PRAP1,1.91536823728423e-21,-0.354085536725248,0.597,0.658,3.37181424491516e-17
PLTP,2.58796447163776e-21,0.324293001863638,0.695,0.55,4.55585265587112e-17
SAT1,3.38886890596801e-21,0.251389754929436,1,1,5.96576482206609e-17
PTGDS,4.30745813260041e-21,-0.671976911471351,0.56,0.67,7.58284929662976e-17
BATF3,4.77892324147595e-21,-0.265022488205894,0.666,0.709,8.41281647429427e-17
TMEM176B,1.90297737437267e-20,0.428091390025354,0.174,0.09,3.35000136984565e-16
G0S2,3.38826106707585e-20,0.353823601190139,0.914,0.882,5.96469478248032e-16
LOC716834,4.06744946495177e-20,0.347373937385465,0.851,0.756,7.1603380381011e-16
DNAJA4,4.29264840070676e-20,0.37697813124801,0.203,0.117,7.55677824460418e-16
SELENOP,3.16666405476234e-19,0.27951361139467,0.8,0.688,5.57459540200362e-15
S100A8,4.99789582080126e-19,-0.381585442433293,0.158,0.266,8.79829580293853e-15
ADIRF,3.62483459564271e-18,0.833042431561177,0.158,0.085,6.38115882216943e-14
TMEM176A,5.34460461923494e-18,0.340704514817425,0.142,0.072,9.40864197170119e-14
LDLRAP1,1.38891195558828e-17,-0.253042696855959,0.413,0.489,2.44504060661761e-13
DUSP1,3.26185632075408e-16,0.435053805826587,0.925,0.896,5.74217186705548e-12
CENPK,4.11958161852239e-16,0.251535387094377,0.277,0.192,7.25211148124681e-12
ERV3-1,4.708982574864e-16,-0.254185828943472,0.335,0.425,8.28969292479059e-12
DUSP6,1.66408984845726e-15,-0.262165916583819,0.642,0.683,2.92946376922416e-11
NR4A3,2.45419707708446e-15,0.273336114616668,0.234,0.151,4.32036853449947e-11
LOC718347,2.78010439795231e-15,0.292754136860036,0.242,0.165,4.89409578215525e-11
MOCOS,4.6185044233024e-15,0.398542347339575,0.353,0.267,8.13041518678154e-11
KLF2,2.14322429763346e-14,0.360586584304677,0.368,0.271,3.77293205355393e-10
ZFAND2A,1.91035918195886e-13,0.453733518958121,0.724,0.62,3.36299630392037e-09
S100A9,3.37430635997773e-13,-0.518632561488032,0.256,0.325,5.9401289161048e-09
UBE2S,3.57472201783166e-13,-0.297172953145225,0.716,0.744,6.29294064019086e-09
TMEM106C,1.37400949699933e-12,0.268736883161672,0.419,0.35,2.41880631851762e-08
APOE,1.43260039905763e-11,0.254995839896368,0.994,0.995,2.52194974250105e-07
ZFP36L1,8.84724473059843e-11,0.320901142268598,0.378,0.301,1.55746896237455e-06
